x,y,y_err
1.500000000000000000e+02,9.681099107833343709e+00,2.858513732408778374e-01
1.583333333333333428e+02,8.149481759005240633e+00,3.178541629822889125e-01
1.666666666666666572e+02,9.094373586215230176e+00,3.733947730527166775e-01
1.750000000000000000e+02,7.590800699923361705e+00,3.361808870898072565e-01
1.833333333333333428e+02,7.588034641832447136e+00,3.455007974597799625e-01
1.916666666666666856e+02,8.158862670555919294e+00,2.940539415995391259e-01
2.000000000000000000e+02,8.040839787825779794e+00,2.714111725201558412e-01
2.083333333333333428e+02,5.701021403750703875e+00,2.188360437031166839e-01
2.166666666666666856e+02,6.065733065875264174e+00,3.006783733865985297e-01
2.250000000000000000e+02,8.574818005609312621e+00,3.844233518917624659e-01
2.333333333333333428e+02,1.121445840927089854e+01,3.901036747138211247e-01
2.416666666666666856e+02,1.349583612826570089e+01,2.389305823319936850e-01
2.500000000000000000e+02,1.390421558873534380e+01,2.646154714789329954e-01
2.583333333333333712e+02,1.530355130786876572e+01,3.751125453656229958e-01
2.666666666666666856e+02,7.032729340836914034e+00,2.621682283588007145e-01
2.750000000000000000e+02,7.570129634629551241e+00,3.432915296473105782e-01
2.833333333333333712e+02,9.323296494451895455e+00,2.016843509869936935e-01
2.916666666666666856e+02,6.980376289235114662e+00,3.440124677436741107e-01
3.000000000000000000e+02,7.055829475634457282e+00,2.680270183435733422e-01
3.083333333333333712e+02,5.730219155469839620e+00,2.785622365578828141e-01
3.166666666666666856e+02,7.400077932944112646e+00,3.118915367778420933e-01
3.250000000000000000e+02,6.518516279591604956e+00,3.557741308889500464e-01
3.333333333333333712e+02,9.174048051595743658e+00,3.248344442852191261e-01
3.416666666666666856e+02,5.723319036498299539e+00,3.968439636856654906e-01
3.500000000000000000e+02,5.178169317722988829e+00,2.454784666525005876e-01
