x,y1,y1_err
1.000000000000000000e+01,1.986788052418221984e+00,2.991405116738090619e-01
1.473684210526315752e+01,1.071518331296444693e+00,3.430267473585921212e-01
1.947368421052631504e+01,1.882093339474169902e+00,3.735095507331057663e-01
2.421052631578947256e+01,1.310317145413003148e+00,3.342255689724942802e-01
2.894736842105263008e+01,1.386856556879184410e+00,4.524923439816501136e-01
3.368421052631578760e+01,1.872917543159192899e+00,4.586746281619537569e-01
3.842105263157894512e+01,1.248934203023449818e+00,3.105894336465283567e-01
4.315789473684210265e+01,1.693795083029115967e+00,2.836622364747684033e-01
4.789473684210526017e+01,3.922725812682180013e+00,3.299507311157140466e-01
5.263157894736841769e+01,6.185340118557058453e+00,3.228094023025396275e-01
5.736842105263157521e+01,8.504453081961159455e+00,3.902777846135435658e-01
6.210526315789473273e+01,7.950221270124471218e+00,4.354917666187876346e-01
6.684210526315789025e+01,8.119330314979944063e+00,2.953164733891996407e-01
7.157894736842104066e+01,8.231799752972836615e+00,4.811750210921219573e-01
7.631578947368420529e+01,8.490957835129204767e+00,4.119134601286356112e-01
8.105263157894736992e+01,8.449550156175570592e+00,2.516671913714572661e-01
8.578947368421052033e+01,8.050680793921289435e+00,3.671951655475740317e-01
9.052631578947367075e+01,8.088219322879480089e+00,3.814501052371141454e-01
9.526315789473683537e+01,8.165625894172611865e+00,4.405118449413990556e-01
1.000000000000000000e+02,8.787537775918977445e+00,2.934985120247535773e-01
