# T(K) Cv(J/cc.K) Cv(J/kg.K)
10.000000 0.080960 0.000431
10.027147 0.081375 0.000434
10.054293 0.081791 0.000438
10.081440 0.082207 0.000441
10.108587 0.082624 0.000445
10.135734 0.083041 0.000449
10.162880 0.083459 0.000452
10.190027 0.083878 0.000456
10.217174 0.084296 0.000460
10.244321 0.084716 0.000463
10.271467 0.085136 0.000467
10.298614 0.085556 0.000471
10.325761 0.085977 0.000474
10.352908 0.086398 0.000478
10.380054 0.086820 0.000482
10.407201 0.087243 0.000486
10.434348 0.087666 0.000489
10.461494 0.088089 0.000493
10.488641 0.088513 0.000497
10.515788 0.088937 0.000501
10.542935 0.089362 0.000505
10.570081 0.089787 0.000509
10.597228 0.090213 0.000513
10.624375 0.090639 0.000517
10.651522 0.091065 0.000521
10.678668 0.091492 0.000525
10.705815 0.091920 0.000529
10.732962 0.092348 0.000533
10.760109 0.092776 0.000537
10.787255 0.093205 0.000541
10.814402 0.093634 0.000545
10.841549 0.094064 0.000549
10.868696 0.094494 0.000553
10.895842 0.094924 0.000557
10.922989 0.095355 0.000562
10.950136 0.095787 0.000566
10.977282 0.096218 0.000570
11.004429 0.096651 0.000574
11.031576 0.097083 0.000578
11.058723 0.097516 0.000583
11.085869 0.097949 0.000587
11.113016 0.098383 0.000591
11.140163 0.098817 0.000596
11.167310 0.099252 0.000600
11.194456 0.099686 0.000604
11.221603 0.100122 0.000609
11.248750 0.100557 0.000613
11.275897 0.100993 0.000618
11.303043 0.101430 0.000622
11.330190 0.101866 0.000627
11.357337 0.102303 0.000631
11.384483 0.102741 0.000636
11.411630 0.103179 0.000640
11.438777 0.103617 0.000645
11.465924 0.104055 0.000649
11.493070 0.104494 0.000654
11.520217 0.104933 0.000659
11.547364 0.105373 0.000663
11.574511 0.105813 0.000668
11.601657 0.106253 0.000673
11.628804 0.106693 0.000678
11.655951 0.107134 0.000682
11.683098 0.107575 0.000687
11.710244 0.108017 0.000692
11.737391 0.108459 0.000697
11.764538 0.108901 0.000702
11.791685 0.109343 0.000706
11.818831 0.109786 0.000711
11.845978 0.110229 0.000716
11.873125 0.110672 0.000721
11.900271 0.111116 0.000726
11.927418 0.111560 0.000731
11.954565 0.112004 0.000736
11.981712 0.112449 0.000741
12.008858 0.112893 0.000746
12.036005 0.113338 0.000751
12.063152 0.113784 0.000756
12.090299 0.114229 0.000761
12.117445 0.114675 0.000767
12.144592 0.115121 0.000772
12.171739 0.115568 0.000777
12.198886 0.116015 0.000782
12.226032 0.116462 0.000787
12.253179 0.116909 0.000793
12.280326 0.117356 0.000798
12.307472 0.117804 0.000803
12.334619 0.118252 0.000809
12.361766 0.118700 0.000814
12.388913 0.119149 0.000819
12.416059 0.119598 0.000825
12.443206 0.120047 0.000830
12.470353 0.120496 0.000836
12.497500 0.120945 0.000841
12.524646 0.121395 0.000847
12.551793 0.121845 0.000852
12.578940 0.122295 0.000858
12.606087 0.122746 0.000863
12.633233 0.123196 0.000869
12.660380 0.123647 0.000874
12.687527 0.124098 0.000880
12.714674 0.124549 0.000886
12.741820 0.125001 0.000891
12.768967 0.125452 0.000897
12.796114 0.125904 0.000903
12.823260 0.126356 0.000909
12.850407 0.126809 0.000914
12.877554 0.127261 0.000920
12.904701 0.127714 0.000926
12.931847 0.128167 0.000932
12.958994 0.128620 0.000938
12.986141 0.129073 0.000944
13.013288 0.129526 0.000949
13.040434 0.129980 0.000955
13.067581 0.130434 0.000961
13.094728 0.130888 0.000967
13.121875 0.131342 0.000973
13.149021 0.131796 0.000980
13.176168 0.132251 0.000986
13.203315 0.132706 0.000992
