# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
0.000000 0.000000 0.000000
0.004000 0.145192 0.000000
0.008000 0.245911 0.001825
0.012000 0.340200 0.006926
0.016000 0.428294 0.014304
0.020000 0.510430 0.023974
0.024000 0.586842 0.035783
0.028000 0.657767 0.049583
0.031999 0.723441 0.065235
0.035999 0.784098 0.082598
0.039999 0.839976 0.101552
0.043999 0.891309 0.121971
0.047999 0.938334 0.143736
0.051999 0.981286 0.166737
0.055999 1.020402 0.190868
0.059999 1.055916 0.216029
0.063999 1.088064 0.242129
0.067999 1.117083 0.269077
0.071999 1.143208 0.296794
0.075999 1.166675 0.325204
0.079999 1.187719 0.354236
0.083999 1.206577 0.383827
0.087999 1.223484 0.413919
0.091999 1.238677 0.444460
0.095998 1.252390 0.475404
0.099998 1.264859 0.506702
0.103998 1.276321 0.538337
0.107998 1.287010 0.570272
0.111998 1.297164 0.602486
0.115998 1.307017 0.634960
0.119998 1.316806 0.667686
0.123998 1.326765 0.700657
0.127998 1.337674 0.733877
0.131998 1.349486 0.767356
0.135998 1.354340 0.801122
0.139998 1.355637 0.835130
0.143998 1.350239 0.869192
0.147998 1.350120 0.903216
0.151998 1.376742 0.937139
0.155998 1.394544 0.971304
0.159997 1.398232 1.006148
0.163997 1.394863 1.041275
0.167997 1.412393 1.076389
0.171997 1.477829 1.111563
0.175997 1.549051 1.147783
0.179997 1.626476 1.185896
0.183997 1.700351 1.225787
0.187997 1.791796 1.267621
0.191997 1.892335 1.311468
0.195997 2.013379 1.357763
0.199997 2.133614 1.406801
0.203997 2.257195 1.458960
0.207997 2.366976 1.514129
0.211997 2.477071 1.572303
0.215997 2.599390 1.633175
0.219996 2.731054 1.696917
0.223996 2.855479 1.763865
0.227996 2.969789 1.834117
0.231996 3.084398 1.907341
0.235996 3.197506 1.983398
0.239996 3.299470 2.062341
0.243996 3.406472 2.144028
0.247996 3.504152 2.228287
0.251996 3.600585 2.315178
0.255996 3.698831 2.404462
0.259996 3.779805 2.496179
0.263996 3.849489 2.590194
0.267996 3.930634 2.686078
0.271996 4.007847 2.783822
0.275996 4.086476 2.883620
0.279996 4.167973 2.985333
0.283995 4.236841 3.089053
0.287995 4.287900 3.194671
0.291995 4.342947 3.301844
0.295995 4.394887 3.410294
0.299995 4.439553 3.520118
0.303995 4.474768 3.631150
0.307995 4.502562 3.743195
0.311995 4.525759 3.856023
0.315995 4.557805 3.969480
0.319995 4.575577 4.083609
0.323995 4.588569 4.198461
0.327995 4.606845 4.313631
0.331995 4.623053 4.429152
0.335995 4.637465 4.545143
0.339995 4.646532 4.661517
0.343994 4.652536 4.778194
0.347994 4.681327 4.895022
0.351994 4.702811 5.012267
0.355994 4.742202 5.130270
0.359994 4.787637 5.248922
0.363994 4.815432 5.368690
0.367994 4.859836 5.489403
0.371994 4.889789 5.610879
0.375994 4.903878 5.733427
0.379994 4.935456 5.856534
0.383994 4.974086 5.980142
0.387994 5.030135 6.104676
0.391994 5.100800 6.230356
0.395994 5.178105 6.357640
0.399994 5.268781 6.486795
0.403994 5.338556 6.618032
0.407993 5.420722 6.751372
0.411993 5.540766 6.886447
0.415993 5.683582 7.024114
0.419993 5.831791 7.165147
0.423993 5.951318 7.309843
0.427993 6.073929 7.458045
0.431993 6.218945 7.609152
0.435993 6.369455 7.763542
0.439993 6.492792 7.921721
0.443993 6.613056 8.083478
0.447993 6.731189 8.248177
0.451993 6.838189 8.415868
0.455993 6.938237 8.586409
0.459993 7.039184 8.759535
0.463993 7.142103 8.935179
0.467993 7.252345 9.113379
0.471992 7.348099 9.294250
0.475992 7.423814 9.477755
