Frequency (THz), Spectral Heat Capacity (J/Kg/K/THz), Cumulative Heat Capacity (J/Kg/K)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,1.451919999999999877e-01,0.000000000000000000e+00
8.000000000000000167e-03,2.459109999999999907e-01,1.825000000000000016e-03
1.200000000000000025e-02,3.402000000000000024e-01,6.925999999999999865e-03
1.600000000000000033e-02,4.282940000000000080e-01,1.430400000000000074e-02
2.000000000000000042e-02,5.104300000000000503e-01,2.397399999999999878e-02
2.400000000000000050e-02,5.868419999999999748e-01,3.578300000000000231e-02
2.800000000000000058e-02,6.577669999999999906e-01,4.958300000000000207e-02
3.199899999999999967e-02,7.234410000000000007e-01,6.523500000000000132e-02
3.599900000000000322e-02,7.840979999999999617e-01,8.259800000000000475e-02
3.999899999999999983e-02,8.399759999999999449e-01,1.015520000000000034e-01
4.399900000000000339e-02,8.913090000000000179e-01,1.219709999999999961e-01
4.799900000000000000e-02,9.383340000000000014e-01,1.437360000000000027e-01
5.199899999999999661e-02,9.812859999999999916e-01,1.667369999999999963e-01
5.599900000000000017e-02,1.020402000000000031e+00,1.908680000000000099e-01
5.999899999999999678e-02,1.055916000000000077e+00,2.160289999999999988e-01
6.399900000000000033e-02,1.088063999999999920e+00,2.421290000000000109e-01
6.799900000000000388e-02,1.117083000000000048e+00,2.690770000000000106e-01
7.199899999999999356e-02,1.143208000000000002e+00,2.967940000000000023e-01
7.599899999999999711e-02,1.166674999999999907e+00,3.252039999999999931e-01
7.999900000000000067e-02,1.187718999999999969e+00,3.542359999999999953e-01
8.399900000000000422e-02,1.206577000000000011e+00,3.838269999999999738e-01
8.799899999999999389e-02,1.223484000000000016e+00,4.139189999999999814e-01
9.199899999999999745e-02,1.238677000000000028e+00,4.444600000000000217e-01
9.599800000000000000e-02,1.252389999999999892e+00,4.754039999999999933e-01
9.999800000000000355e-02,1.264858999999999956e+00,5.067019999999999857e-01
1.039979999999999932e-01,1.276321000000000039e+00,5.383369999999999544e-01
1.079979999999999968e-01,1.287009999999999987e+00,5.702720000000000011e-01
1.119980000000000003e-01,1.297163999999999984e+00,6.024859999999999660e-01
1.159980000000000039e-01,1.307017000000000095e+00,6.349599999999999689e-01
1.199979999999999936e-01,1.316805999999999921e+00,6.676860000000000017e-01
1.239979999999999971e-01,1.326764999999999972e+00,7.006569999999999743e-01
1.279980000000000007e-01,1.337674000000000030e+00,7.338770000000000016e-01
1.319980000000000042e-01,1.349485999999999963e+00,7.673560000000000381e-01
1.359980000000000078e-01,1.354340000000000099e+00,8.011220000000000008e-01
1.399980000000000113e-01,1.355636999999999981e+00,8.351300000000000390e-01
1.439979999999999871e-01,1.350238999999999967e+00,8.691919999999999646e-01
1.479979999999999907e-01,1.350119999999999987e+00,9.032160000000000188e-01
1.519979999999999942e-01,1.376741999999999910e+00,9.371390000000000553e-01
1.559979999999999978e-01,1.394544000000000006e+00,9.713039999999999452e-01
1.599970000000000003e-01,1.398231999999999919e+00,1.006148000000000042e+00
1.639970000000000039e-01,1.394862999999999964e+00,1.041274999999999951e+00
1.679970000000000074e-01,1.412393000000000010e+00,1.076389000000000040e+00
1.719970000000000110e-01,1.477829000000000059e+00,1.111563000000000079e+00
1.759969999999999868e-01,1.549050999999999956e+00,1.147782999999999998e+00
1.799969999999999903e-01,1.626476000000000033e+00,1.185896000000000061e+00
1.839969999999999939e-01,1.700350999999999946e+00,1.225786999999999960e+00
1.879969999999999974e-01,1.791795999999999944e+00,1.267621000000000109e+00
1.919970000000000010e-01,1.892335000000000100e+00,1.311468000000000078e+00
1.959970000000000045e-01,2.013379000000000030e+00,1.357763000000000053e+00
1.999970000000000081e-01,2.133614000000000122e+00,1.406800999999999968e+00
2.039970000000000117e-01,2.257194999999999840e+00,1.458960000000000035e+00
2.079969999999999875e-01,2.366976000000000191e+00,1.514129000000000058e+00
2.119969999999999910e-01,2.477071000000000023e+00,1.572303000000000006e+00
2.159969999999999946e-01,2.599390000000000089e+00,1.633175000000000043e+00
2.199959999999999971e-01,2.731053999999999871e+00,1.696917000000000009e+00
2.239960000000000007e-01,2.855478999999999878e+00,1.763865000000000016e+00
2.279960000000000042e-01,2.969789000000000012e+00,1.834116999999999997e+00
2.319960000000000078e-01,3.084398000000000195e+00,1.907340999999999953e+00
2.359960000000000113e-01,3.197506000000000181e+00,1.983397999999999994e+00
2.399959999999999871e-01,3.299469999999999903e+00,2.062340999999999980e+00
2.439959999999999907e-01,3.406471999999999944e+00,2.144028000000000045e+00
2.479959999999999942e-01,3.504151999999999934e+00,2.228286999999999907e+00
2.519959999999999978e-01,3.600585000000000147e+00,2.315177999999999958e+00
2.559960000000000013e-01,3.698831000000000202e+00,2.404462000000000099e+00
2.599960000000000049e-01,3.779805000000000081e+00,2.496179000000000148e+00
2.639960000000000084e-01,3.849489000000000161e+00,2.590193999999999885e+00
2.679960000000000120e-01,3.930633999999999961e+00,2.686078000000000188e+00
2.719960000000000155e-01,4.007846999999999937e+00,2.783821999999999797e+00
